model,dataset,lambda,corruption,accuracy
ProtoViT,CUB-200-C,0.0,brightness,75.97514670348636
ProtoViT,CUB-200-C,0.3,brightness,75.716258198136
ProtoViT,CUB-200-C,0.5,brightness,75.99240593717639
ProtoViT,CUB-200-C,0.7,brightness,76.40662754573697
ProtoViT,CUB-200-C,1.0,brightness,79.09906800138073
ProtoViT,CUB-200-C,0.0,contrast,45.012081463583016
ProtoViT,CUB-200-C,0.3,contrast,51.1391094235416
ProtoViT,CUB-200-C,0.5,contrast,53.84880911287539
ProtoViT,CUB-200-C,0.7,contrast,55.45391784604764
ProtoViT,CUB-200-C,1.0,contrast,63.134276838108384
ProtoViT,CUB-200-C,0.0,defocus_blur,27.64929237141871
ProtoViT,CUB-200-C,0.3,defocus_blur,34.967207455988955
ProtoViT,CUB-200-C,0.5,defocus_blur,29.4269934414912
ProtoViT,CUB-200-C,0.7,defocus_blur,40.283051432516395
ProtoViT,CUB-200-C,1.0,defocus_blur,51.19088712461167
ProtoViT,CUB-200-C,0.0,elastic_transform,75.0604073179151
ProtoViT,CUB-200-C,0.3,elastic_transform,75.68173973075596
ProtoViT,CUB-200-C,0.5,elastic_transform,76.11322057300656
ProtoViT,CUB-200-C,0.7,elastic_transform,76.00966517086641
ProtoViT,CUB-200-C,1.0,elastic_transform,79.91025198481188
ProtoViT,CUB-200-C,0.0,fog,71.86744908526062
ProtoViT,CUB-200-C,0.3,fog,70.91819123230928
ProtoViT,CUB-200-C,0.5,fog,72.6441146013117
ProtoViT,CUB-200-C,0.7,fog,73.36900241629272
ProtoViT,CUB-200-C,1.0,fog,76.78633068691751
ProtoViT,CUB-200-C,0.0,frost,53.12392129789437
ProtoViT,CUB-200-C,0.3,frost,54.6427338626165
ProtoViT,CUB-200-C,0.5,frost,27.959958577839146
ProtoViT,CUB-200-C,0.7,frost,55.902657921988265
ProtoViT,CUB-200-C,1.0,frost,63.06523990334829
ProtoViT,CUB-200-C,0.0,gaussian_blur,27.027959958577842
ProtoViT,CUB-200-C,0.3,gaussian_blur,36.90024162927166
ProtoViT,CUB-200-C,0.5,gaussian_blur,39.212978943734896
ProtoViT,CUB-200-C,0.7,gaussian_blur,39.43734898170521
ProtoViT,CUB-200-C,1.0,gaussian_blur,47.9288919571971
ProtoViT,CUB-200-C,0.0,gaussian_noise,48.619261304798066
ProtoViT,CUB-200-C,0.3,gaussian_noise,38.781498101484296
ProtoViT,CUB-200-C,0.5,gaussian_noise,51.74318260269244
ProtoViT,CUB-200-C,0.7,gaussian_noise,43.303417328270626
ProtoViT,CUB-200-C,1.0,gaussian_noise,59.76872626855367
ProtoViT,CUB-200-C,0.0,impulse_noise,34.276838108387985
ProtoViT,CUB-200-C,0.3,impulse_noise,30.963065239903347
ProtoViT,CUB-200-C,0.5,impulse_noise,35.001725923369
ProtoViT,CUB-200-C,0.7,impulse_noise,31.463583016914047
ProtoViT,CUB-200-C,1.0,impulse_noise,62.34035208836728
ProtoViT,CUB-200-C,0.0,jpeg_compression,69.15774939592683
ProtoViT,CUB-200-C,0.3,jpeg_compression,68.65723161891611
ProtoViT,CUB-200-C,0.5,jpeg_compression,69.76182257507767
ProtoViT,CUB-200-C,0.7,jpeg_compression,70.0724887814981
ProtoViT,CUB-200-C,1.0,jpeg_compression,72.97204004142216
ProtoViT,CUB-200-C,0.0,pixelate,73.73144632378322
ProtoViT,CUB-200-C,0.3,pixelate,73.85226095961339
ProtoViT,CUB-200-C,0.5,pixelate,73.97307559544356
ProtoViT,CUB-200-C,0.7,pixelate,74.11114946496376
ProtoViT,CUB-200-C,1.0,pixelate,77.28684846392821
ProtoViT,CUB-200-C,0.0,shot_noise,53.55540214014498
ProtoViT,CUB-200-C,0.3,shot_noise,53.693476009665176
ProtoViT,CUB-200-C,0.5,shot_noise,54.02140144977563
ProtoViT,CUB-200-C,0.7,shot_noise,53.52088367276493
ProtoViT,CUB-200-C,1.0,shot_noise,61.649982740766305
ProtoViT,CUB-200-C,0.0,speckle_noise,66.32723507076285
ProtoViT,CUB-200-C,0.3,speckle_noise,58.95754228512254
ProtoViT,CUB-200-C,0.5,speckle_noise,65.75768035899206
ProtoViT,CUB-200-C,0.7,speckle_noise,67.24197445633415
ProtoViT,CUB-200-C,1.0,speckle_noise,71.26337590610977
